,STATE,ELECTORAL VOTES,ELECTORAL VOTE: TRUMP (R),ELECTORAL VOTE: HARRIS (D),AYYADURAI,BOWMAN,DE LA CRUZ,DUNCAN,EBKE,EVERYLOVE,FRUIT,GARRITY,HARRIS,HUBER,KENNEDY,KISHORE,OLIVER,PRESTON,SKOUSEN,SONSKI,STEIN,STODDEN,SUPREME,TERRY,TRUMP,WELLS,WEST,WOOD,NONE OF THESE CANDIDATES,WRITE-INS (SCATTERED),TOTAL VOTES,geoName,zombies,HARRIS FRAC TOTAL,TRUMP FRAC TOTAL
0,AL,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772412.0,0.0,12075.0,0.0,4930.0,0.0,0.0,0.0,4319.0,0.0,0.0,0.0,1462616.0,0.0,0.0,0.0,0.0,8738.0,2265090.0,Alabama,68,0.004975653495617338,0.009421746960360336
1,AK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140026.0,0.0,5670.0,0.0,3040.0,0.0,0.0,702.0,2342.0,0.0,0.0,812.0,184458.0,0.0,1127.0,0.0,0.0,0.0,338177.0,Alaska,86,0.0009020067740756402,0.0011882247977693032
2,AZ,11,11.0,0.0,77.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,1582860.0,0.0,0.0,0.0,17898.0,0.0,53.0,0.0,18319.0,0.0,0.0,0.0,1770242.0,0.0,0.0,0.0,0.0,23.0,3390161.0,Arizona,87,0.010196323842810391,0.011403384198314666
3,AR,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396905.0,0.0,13255.0,0.0,5715.0,0.0,0.0,2141.0,4275.0,0.0,0.0,0.0,759241.0,0.0,0.0,1144.0,0.0,0.0,1182676.0,Arkansas,86,0.002556746594664505,0.004890809743590212
4,CA,54,0.0,54.0,0.0,0.0,72539.0,0.0,0.0,0.0,0.0,0.0,9276179.0,0.0,197645.0,0.0,66662.0,0.0,0.0,2939.0,167814.0,0.0,0.0,0.0,6081697.0,0.0,0.0,0.0,0.0,0.0,15865475.0,California,69,0.059754447713554606,0.039176523587587296
5,CO,10,0.0,10.0,15.0,0.0,905.0,0.0,0.0,0.0,0.0,30.0,1728159.0,2196.0,35623.0,0.0,21439.0,0.0,0.0,910.0,17344.0,0.0,0.0,3522.0,1377441.0,0.0,5149.0,0.0,0.0,12.0,3192745.0,Colorado,77,0.011132297749559254,0.008873074378254924
6,CT,7,0.0,7.0,21.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,992053.0,0.0,8448.0,0.0,6729.0,0.0,0.0,162.0,14281.0,0.0,0.0,0.0,736918.0,0.0,128.0,0.0,0.0,6.0,1759010.0,Connecticut,60,0.006390516948581414,0.004747011468857731
7,DE,3,0.0,3.0,4.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,289758.0,0.0,4636.0,0.0,2038.0,0.0,0.0,98.0,914.0,0.0,914.0,0.0,214351.0,0.0,96.0,0.0,0.0,16.0,512912.0,Delaware,64,0.0018665367777599114,0.0013807868112342533
8,DC,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294185.0,0.0,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21076.0,0.0,0.0,0.0,0.0,7830.0,325869.0,District of Columbia,29,0.0018950542244400483,0.00013576546334550865
9,FL,30,30.0,0.0,199.0,0.0,11969.0,0.0,0.0,0.0,0.0,0.0,4683038.0,0.0,0.0,0.0,31972.0,0.0,0.0,7454.0,43155.0,0.0,0.0,5834.0,6110125.0,0.0,0.0,0.0,0.0,6.0,10893752.0,Florida,61,0.030166769023278805,0.03935964849705712
