geoName,zombies
Oklahoma,100
Utah,99
Idaho,96
West Virginia,94
Wyoming,93
Kentucky,91
Missouri,91
Indiana,90
Nevada,89
Ohio,87
Arizona,87
Alaska,86
Arkansas,86
Kansas,84
New Mexico,84
North Dakota,83
Texas,82
South Dakota,79
Nebraska,78
Washington,78
Michigan,78
Colorado,77
Tennessee,77
Pennsylvania,76
Wisconsin,76
Iowa,75
Montana,73
Oregon,70
North Carolina,70
Minnesota,69
California,69
Alabama,68
South Carolina,66
Virginia,66
Georgia,66
Illinois,66
Louisiana,65
New Hampshire,65
Delaware,64
Mississippi,63
Rhode Island,63
Maine,62
Vermont,62
New Jersey,62
Florida,61
Connecticut,60
Maryland,59
Hawaii,59
New York,54
Massachusetts,52
District of Columbia,29
